AoA,CL,CD,camber,camber_loc,thickness,Re
0.0,0.1252,0.01149,2,4,06,100000
2.0,0.4085,0.01394,2,4,06,100000
4.0,0.6719,0.01272,2,4,06,100000
6.0,0.8272,0.03101,2,4,06,100000
8.0,0.7147,0.0239,2,4,06,100000
10.0,0.4962,0.04926,2,4,06,100000
12.0,0.4813,0.0857,2,4,06,100000
14.0,0.4978,0.10967,2,4,06,100000
16.0,0.5405,0.13683,2,4,06,100000
-2.0,-0.0638,0.01011,2,4,06,250000
0.0,0.2111,0.00755,2,4,06,250000
2.0,0.4719,0.00722,2,4,06,250000
4.0,0.6592,0.00986,2,4,06,250000
6.0,0.8347,0.02291,2,4,06,250000
8.0,0.9592,0.05656,2,4,06,250000
12.0,0.4724,0.07738,2,4,06,250000
16.0,0.5386,0.13294,2,4,06,250000
-2.0,0.0275,0.00619,2,4,06,1000000
0.0,0.2444,0.00351,2,4,06,1000000
2.0,0.4553,0.0047,2,4,06,1000000
4.0,0.6573,0.00867,2,4,06,1000000
6.0,0.8496,0.01719,2,4,06,1000000
-2.0,-0.0202,0.02295,3,4,06,50000
0.0,0.1801,0.01717,3,4,06,50000
2.0,0.3464,0.02216,3,4,06,50000
4.0,0.6888,0.02944,3,4,06,50000
6.0,0.8988,0.0305,3,4,06,50000
8.0,1.0629,0.06066,3,4,06,50000
12.0,0.9008,0.16501,3,4,06,50000
14.0,0.9269,0.19657,3,4,06,50000
16.0,0.9674,0.22799,3,4,06,50000
-2.0,-0.009,0.01779,3,4,06,100000
0.0,0.1951,0.01348,3,4,06,100000
2.0,0.5506,0.01498,3,4,06,100000
4.0,0.7889,0.0143,3,4,06,100000
6.0,0.9184,0.02778,3,4,06,100000
10.0,0.6604,0.03776,3,4,06,100000
12.0,0.5233,0.08444,3,4,06,100000
14.0,0.588,0.1178,3,4,06,100000
16.0,0.6139,0.14667,3,4,06,100000
-2.0,0.0599,0.01184,3,4,06,250000
0.0,0.3545,0.00771,3,4,06,250000
2.0,0.5777,0.00758,3,4,06,250000
4.0,0.7761,0.00927,3,4,06,250000
6.0,0.9318,0.02103,3,4,06,250000
-2.0,0.1401,0.00632,3,4,06,1000000
0.0,0.3531,0.00375,3,4,06,1000000
2.0,0.5693,0.0047,3,4,06,1000000
4.0,0.7693,0.00843,3,4,06,1000000
-2.0,0.0079,0.03045,4,4,06,50000
0.0,0.2404,0.02001,4,4,06,50000
4.0,0.7589,0.03422,4,4,06,50000
6.0,0.9924,0.02656,4,4,06,50000
8.0,1.1776,0.05353,4,4,06,50000
10.0,1.1542,0.09402,4,4,06,50000
12.0,0.9937,0.16941,4,4,06,50000
14.0,1.0053,0.20305,4,4,06,50000
16.0,1.0215,0.22977,4,4,06,50000
-2.0,0.0224,0.02472,4,4,06,100000
0.0,0.35,0.01574,4,4,06,100000
