beta1;beta2;beta_inf;firstdigit;seconddigit;pitch;sigma;AoA;Re;Cl;Cd
58.49999998;52.42968029;55.69891026;4;4;37.5;1.35;6;1100000;0.219549961;0.013952678
65.90000001;65.07841137;65.49566551;4;4;37.5;0.75;-4;1100000;0.02813783;0.014425824
58.49999998;54.18488746;56.46457783;4;4;37.5;0.75;16;1100000;0.30758018;0.01201576
58.49999998;52.38764747;55.68096645;4;4;37.5;0.75;6;200000;0.417299628;0.010999439
68.49999999;59.63295032;64.77472712;4;4;37.5;0.75;6;2000000;0.626889857;0.034894725
47.18999998;36.79241681;42.41814743;2;3;24.18558654;0.394948974;4;567423.4614;0.36430064;0.016982731
69.80999998;66.92968995;68.46117104;5;3;24.18558654;0.394948974;4;567423.4614;0.579990388;0.016869632
43.18999999;39.85595868;41.56594918;2;5;24.18558654;0.394948974;4;567423.4614;0.367776528;0.015214479
73.80999999;70.29675393;72.21975956;5;5;24.18558654;0.394948974;4;567423.4614;0.787243859;0.022113226
43.18999999;38.23192964;40.80337497;2;3;50.81441346;0.394948974;4;567423.4614;0.524962243;0.015780551
73.80999999;68.15568658;71.38824079;5;3;50.81441346;0.394948974;4;567423.4614;0.384304273;0.010673098
43.18999999;36.8099336;40.14930742;2;5;50.81441346;0.394948974;4;567423.4614;0.227569909;0.016627396
73.80999999;70.72806922;72.39871667;5;5;50.81441346;0.394948974;4;567423.4614;0.721674796;0.017766221
69.80999998;67.63028243;68.77338128;2;3;24.18558654;1.105051026;4;567423.4614;0.455408595;0.014879887
47.18999998;39.73746054;43.69405936;5;3;24.18558654;1.105051026;4;567423.4614;0.275550565;0.01483645
47.18999998;41.60946759;44.53301052;2;5;24.18558654;1.105051026;4;567423.4614;0.621988241;0.016502724
73.80999999;66.49689004;70.80170324;5;5;24.18558654;1.105051026;4;567423.4614;0.44987033;0.012140892
69.80999998;67.50031284;68.7147367;2;3;50.81441346;1.105051026;4;567423.4614;0.151886206;0.012078754
47.18999998;40.29650939;43.94217751;5;3;50.81441346;1.105051026;4;567423.4614;0.74423678;0.018385116
73.80999999;66.48696166;70.79832877;2;5;50.81441346;1.105051026;4;567423.4614;0.450090655;0.012393564
47.18999998;40.06918399;43.8410436;5;5;50.81441346;1.105051026;4;567423.4614;0.264801221;0.014795212
47.18999998;41.47340824;44.47123801;2;3;24.18558654;0.394948974;8;567423.4614;0.635544737;0.016945477
69.80999998;66.78011328;68.39573505;5;3;24.18558654;0.394948974;8;567423.4614;0.608372847;0.017146226
69.80999998;65.29000417;67.76597069;2;5;24.18558654;0.394948974;8;567423.4614;0.279353166;0.01360275
47.18999998;37.46527346;42.70528139;5;5;24.18558654;0.394948974;8;567423.4614;0.342575462;0.016055412
73.80999999;68.32262882;71.44990443;2;3;50.81441346;0.394948974;8;567423.4614;0.384477892;0.010510338
73.80999999;70.18709493;72.17490981;5;3;50.81441346;0.394948974;8;567423.4614;0.810980453;0.022070905
69.80999998;65.22481673;67.7393002;2;5;50.81441346;0.394948974;8;567423.4614;0.281827647;0.014616861
